Usage_Date,Project_ID,Source_Region,Destination_Region,Transfer_Type,Data_Volume_GB,Network_Cost
2026-04-07 00:00:00,proj-038,us-central1,asia-south1,Load Balancing,64.31,98.19
2025-09-27 00:00:00,proj-017,asia-south1,us-central1,Load Balancing,437.41,63.49
2025-02-02 00:00:00,proj-070,australia-southeast1,us-central1,Internet Egress,368.18,78.48
2025-11-05 00:00:00,proj-017,australia-southeast1,Internet,Load Balancing,365.52,57.27
2025-08-09 00:00:00,proj-051,asia-south1,Internet,Inter-region Egress,183.86,47.43
2025-11-08 00:00:00,proj-009,europe-west1,asia-south1,Inter-region Egress,102.65,69.03
2026-01-12 00:00:00,proj-059,australia-southeast1,australia-southeast1,Intra-region Egress,336.81,47.39
2025-07-11 00:00:00,proj-047,us-east4,us-central1,Intra-region Egress,191.31,18.61
2025-11-06 00:00:00,proj-063,us-east4,Internet,Intra-region Egress,424.2,11.45
2025-12-08 00:00:00,proj-027,europe-west1,europe-west1,Cloud NAT,375.48,47.23
2025-07-09 00:00:00,proj-036,asia-south1,europe-west1,Inter-region Egress,302.91,83.9
2025-08-02 00:00:00,proj-025,us-central1,asia-south1,Cloud NAT,416.79,52.13
2025-11-04 00:00:00,proj-020,europe-west1,asia-south1,Load Balancing,278.61,72.56
2025-04-08 00:00:00,proj-067,europe-west1,us-central1,Intra-region Egress,451.86,83.79
2025-11-15 00:00:00,proj-073,australia-southeast1,asia-south1,Load Balancing,339.44,12.27
2025-09-17 00:00:00,proj-067,asia-south1,us-east4,Internet Egress,370.92,24.95
2025-03-16 00:00:00,proj-028,australia-southeast1,us-east4,Cloud NAT,401.34,9.1
2025-07-23 00:00:00,proj-041,asia-south1,europe-west1,Load Balancing,431.72,64.32
2026-02-15 00:00:00,proj-009,us-east4,us-east4,Cloud NAT,149.36,59.01
2026-02-15 00:00:00,proj-013,us-central1,australia-southeast1,Inter-region Egress,196.93,83.41
2025-09-23 00:00:00,proj-036,us-east4,us-central1,Internet Egress,188.44,61.27
2026-04-23 00:00:00,proj-066,australia-southeast1,us-central1,Internet Egress,116.72,12.76
2025-02-24 00:00:00,proj-003,australia-southeast1,us-central1,Cloud NAT,111.94,35.59
2026-01-17 00:00:00,proj-007,asia-south1,us-east4,Internet Egress,413.9,76.09
2026-05-02 00:00:00,proj-043,europe-west1,us-central1,Cloud NAT,483.08,85.72
2025-06-14 00:00:00,proj-076,europe-west1,us-central1,Internet Egress,367.08,16.53
2025-04-22 00:00:00,proj-053,us-central1,europe-west1,Load Balancing,446.18,43.62
2026-02-15 00:00:00,proj-042,asia-south1,us-central1,Load Balancing,22.07,97.03
2026-05-01 00:00:00,proj-062,us-east4,asia-south1,Cloud NAT,122.57,38.12
2026-02-04 00:00:00,proj-015,asia-south1,us-east4,Inter-region Egress,448.77,5.45
2026-03-23 00:00:00,proj-026,australia-southeast1,europe-west1,Internet Egress,360.27,56.07
2025-03-10 00:00:00,proj-039,us-central1,asia-south1,Intra-region Egress,394.41,21.5
2025-01-08 00:00:00,proj-020,us-central1,us-central1,Intra-region Egress,388.31,52.78
2025-04-30 00:00:00,proj-065,australia-southeast1,us-central1,Internet Egress,313.39,86.75
2025-09-10 00:00:00,proj-050,australia-southeast1,australia-southeast1,Intra-region Egress,227.8,42.93
2026-02-22 00:00:00,proj-026,europe-west1,australia-southeast1,Internet Egress,211.16,9.37
2026-05-12 00:00:00,proj-050,asia-south1,australia-southeast1,Load Balancing,218.05,11.82
2025-10-30 00:00:00,proj-042,us-east4,asia-south1,Load Balancing,345.08,8.56
2026-01-02 00:00:00,proj-004,australia-southeast1,asia-south1,Intra-region Egress,307.43,80.58
2026-03-01 00:00:00,proj-061,asia-south1,australia-southeast1,Internet Egress,203.18,45
2025-06-05 00:00:00,proj-054,us-east4,australia-southeast1,Internet Egress,401.44,23.36
2025-09-04 00:00:00,proj-033,australia-southeast1,asia-south1,Internet Egress,310.3,63.41
2025-04-21 00:00:00,proj-048,us-central1,asia-south1,Inter-region Egress,466.66,21.36
2025-08-02 00:00:00,proj-041,us-east4,australia-southeast1,Inter-region Egress,63.74,3.04
2025-11-24 00:00:00,proj-035,europe-west1,australia-southeast1,Internet Egress,156.93,16.8
2025-09-18 00:00:00,proj-007,europe-west1,Internet,Load Balancing,471.87,55.35
2025-11-15 00:00:00,proj-056,ASIA-SOUTH1,asia-south1,Inter-region Egress,20.27,90.17
2025-01-06 00:00:00,proj-063,us-east4,europe-west1,Inter-region Egress,14.95,93.85
2025-03-13 00:00:00,proj-006,us-central1,us-central1,Cloud NAT,140.7,10.36
2025-12-06 00:00:00,proj-049,asia-south1,europe-west1,Cloud NAT,488.84,77.94
2025-07-12 00:00:00,proj-049,australia-southeast1,us-central1,Intra-region Egress,222.1,14.79
2026-03-05 00:00:00,proj-073,us-central1,us-east4,Inter-region Egress,25.66,87.15
2025-04-21 00:00:00,proj-033,US-CENTRAL1,asia-south1,Inter-region Egress,260.17,34.83
2025-11-04 00:00:00,proj-080,us-central1,australia-southeast1,Internet Egress,308.21,90.22
2025-10-09 00:00:00,proj-050,australia-southeast1,us-east4,Intra-region Egress,183.28,5.73
2025-09-30 00:00:00,proj-007,europe-west1,Internet,Intra-region Egress,165.31,82.2
2025-03-24 00:00:00,proj-060,asia-south1,us-central1,Inter-region Egress,428.33,27.93
2025-02-24 00:00:00,proj-044,australia-southeast1,us-central1,Intra-region Egress,54.04,5.16
2026-03-20 00:00:00,proj-047,us-central1,us-east4,Inter-region Egress,478.06,53.99
2025-01-17 00:00:00,proj-058,us-central1,us-east4,Intra-region Egress,40.47,31.32
2025-06-20 00:00:00,proj-023,us-east4,australia-southeast1,Intra-region Egress,191.17,14.48
2025-03-02 00:00:00,proj-016,us-east4,us-central1,Inter-region Egress,360.58,14.11
2025-03-23 00:00:00,proj-057,AUSTRALIA-SOUTHEAST1,us-central1,Load Balancing,368.62,77.04
2025-12-02 00:00:00,proj-069,asia-south1,australia-southeast1,Intra-region Egress,60.31,85.04
2025-12-24 00:00:00,proj-056,us-east4,us-east4,Inter-region Egress,230.38,58.56
2025-06-11 00:00:00,proj-049,australia-southeast1,us-east4,Internet Egress,138.73,36.9
2025-01-23 00:00:00,proj-074,europe-west1,asia-south1,Cloud NAT,359.41,62.04
2025-02-23 00:00:00,proj-009,asia-south1,europe-west1,Inter-region Egress,382.3,78.17
2026-05-06 00:00:00,proj-010,europe-west1,europe-west1,Cloud NAT,5.79,83.69
2025-01-18 00:00:00,proj-036,asia-south1,asia-south1,Load Balancing,213.64,1.31
2025-01-17 00:00:00,proj-031,asia-south1,australia-southeast1,Inter-region Egress,168.93,3.86
2025-11-21 00:00:00,proj-012,asia-south1,asia-south1,Internet Egress,223.25,31.17
2026-05-11 00:00:00,proj-054,us-central1,Internet,Intra-region Egress,239.19,83.04
2025-09-25 00:00:00,proj-042,us-east4,asia-south1,Inter-region Egress,237.82,85.74
2026-04-15 00:00:00,proj-044,asia-south1,asia-south1,Load Balancing,23.22,72.19
2025-02-09 00:00:00,proj-057,europe-west1,us-central1,Intra-region Egress,189.33,72.86
2025-10-10 00:00:00,proj-066,australia-southeast1,Internet,Cloud NAT,477.61,79.49
2025-10-07 00:00:00,proj-054,us-east4,Internet,Intra-region Egress,274.54,50.62
2025-02-19 00:00:00,proj-046,europe-west1,asia-south1,Intra-region Egress,122.71,27.44
2025-02-15 00:00:00,proj-024,asia-south1,Internet,Inter-region Egress,93.26,47.52
2025-09-09 00:00:00,proj-064,us-east4,australia-southeast1,Intra-region Egress,9.39,63.31
2025-08-20 00:00:00,proj-040,us-east4,Internet,Intra-region Egress,375.4,65.51
2026-03-15 00:00:00,proj-053,asia-south1,us-central1,Load Balancing,443.67,8.34
2025-02-19 00:00:00,proj-052,us-east4,us-east4,Intra-region Egress,101.82,81.49
2025-09-15 00:00:00,proj-015,australia-southeast1,europe-west1,Inter-region Egress,64.97,42.34
2026-05-07 00:00:00,proj-080,europe-west1,europe-west1,Load Balancing,28.33,35.26
2025-11-09 00:00:00,proj-071,AUSTRALIA-SOUTHEAST1,Internet,Inter-region Egress,114.13,76.49
2026-03-04 00:00:00,proj-017,us-east4,us-east4,Internet Egress,126.66,9.61
2025-09-29 00:00:00,proj-008,asia-south1,australia-southeast1,Intra-region Egress,301.58,7.75
2025-09-12 00:00:00,proj-005,asia-south1,europe-west1,Internet Egress,425.36,30.96
2026-03-13 00:00:00,proj-018,US-EAST4,asia-south1,Intra-region Egress,399.39,42.69
2025-07-14 00:00:00,proj-046,us-central1,europe-west1,Cloud NAT,498.59,3.62
2025-07-21 00:00:00,proj-043,europe-west1,Internet,Intra-region Egress,88.41,60.88
2025-04-20 00:00:00,proj-012,europe-west1,us-central1,,215.16,51.83
2025-10-23 00:00:00,proj-052,US-CENTRAL1,europe-west1,Cloud NAT,117.15,38.15
2025-12-20 00:00:00,proj-068,us-east4,us-central1,Inter-region Egress,86.34,96.29
2026-02-23 00:00:00,proj-034,australia-southeast1,Internet,Internet Egress,100.73,79.23
2025-08-10 00:00:00,proj-050,europe-west1,us-central1,Internet Egress,40.8,23.98
2025-05-20 00:00:00,proj-075,europe-west1,australia-southeast1,Cloud NAT,472.16,25.8
2026-01-19 00:00:00,proj-033,asia-south1,us-central1,Inter-region Egress,5.5,29.53
2025-08-10 00:00:00,proj-078,europe-west1,europe-west1,Intra-region Egress,9.02,11.31
2025-04-17 00:00:00,proj-010,us-central1,us-central1,Load Balancing,1.44,28.07
2025-01-24 00:00:00,proj-040,europe-west1,asia-south1,Internet Egress,63.92,74.24
2025-08-29 00:00:00,proj-007,EUROPE-WEST1,us-east4,Cloud NAT,396.33,12.43
2025-04-18 00:00:00,proj-075,europe-west1,us-east4,Inter-region Egress,149.68,58.42
2025-03-06 00:00:00,proj-012,us-east4,asia-south1,Cloud NAT,497.31,88.41
2026-01-04 00:00:00,proj-013,australia-southeast1,australia-southeast1,Internet Egress,429.98,23.94
2025-11-16 00:00:00,proj-037,europe-west1,us-east4,Load Balancing,109.94,91.09
2025-08-05 00:00:00,proj-002,us-east4,Internet,Cloud NAT,424.71,23.26
2025-02-07 00:00:00,proj-062,us-east4,us-central1,Inter-region Egress,11.14,10.15
2025-10-24 00:00:00,proj-046,europe-west1,asia-south1,Load Balancing,78.5,64.43
2026-05-13 00:00:00,proj-002,asia-south1,us-central1,Intra-region Egress,451.71,72.39
2025-07-17 00:00:00,proj-071,us-central1,Internet,Intra-region Egress,356.17,75.24
2025-07-31 00:00:00,proj-060,asia-south1,Internet,Inter-region Egress,290.15,67.95
2026-04-23 00:00:00,proj-050,asia-south1,australia-southeast1,Cloud NAT,424.63,71
2025-02-27 00:00:00,proj-039,europe-west1,australia-southeast1,Inter-region Egress,245.65,75.81
2026-01-29 00:00:00,proj-046,europe-west1,australia-southeast1,Load Balancing,285.27,24.41
2025-08-24 00:00:00,proj-036,asia-south1,asia-south1,Load Balancing,232.24,47.9
2026-01-26 00:00:00,proj-023,australia-southeast1,Internet,Intra-region Egress,271.34,91.46
2025-05-31 00:00:00,proj-050,asia-south1,Internet,Inter-region Egress,37.5,54.21
2025-12-23 00:00:00,proj-070,australia-southeast1,Internet,Internet Egress,334.11,5.74
2025-06-08 00:00:00,proj-015,australia-southeast1,asia-south1,Inter-region Egress,100.66,9.62
2025-09-13 00:00:00,proj-058,asia-south1,Internet,Load Balancing,129.03,24.44
2025-09-20 00:00:00,proj-073,us-east4,Internet,Inter-region Egress,333.28,28.65
2025-04-06 00:00:00,proj-075,asia-south1,europe-west1,Inter-region Egress,377.58,15.96
2025-08-16 00:00:00,proj-048,us-east4,us-central1,Load Balancing,219.34,39.27
2026-04-17 00:00:00,proj-036,asia-south1,Internet,Inter-region Egress,372.72,33.89
2026-01-28 00:00:00,proj-024,us-central1,us-central1,Internet Egress,217.46,46.24
2026-01-28 00:00:00,proj-008,australia-southeast1,europe-west1,Intra-region Egress,384.94,31.89
2025-06-14 00:00:00,proj-068,europe-west1,Internet,Cloud NAT,67.67,80.04
2026-02-16 00:00:00,proj-051,europe-west1,australia-southeast1,Cloud NAT,178.97,42.85
2025-11-13 00:00:00,proj-020,us-central1,us-east4,Cloud NAT,491.08,88.22
2025-07-26 00:00:00,proj-078,asia-south1,us-east4,Intra-region Egress,424.68,31.66
2025-06-26 00:00:00,proj-021,us-east4,asia-south1,Intra-region Egress,50.98,40.26
2026-03-06 00:00:00,proj-051,us-east4,Internet,Intra-region Egress,457.22,46.91
2026-02-05 00:00:00,proj-034,asia-south1,europe-west1,Intra-region Egress,36.2,33.08
2025-01-24 00:00:00,proj-073,asia-south1,asia-south1,Internet Egress,177.48,30.86
2025-07-22 00:00:00,proj-045,us-central1,us-central1,Inter-region Egress,363.78,22.93
2025-06-11 00:00:00,proj-065,us-east4,australia-southeast1,Inter-region Egress,80.72,86.47
2025-06-04 00:00:00,proj-005,us-east4,us-east4,Cloud NAT,184.76,26.3
2026-02-04 00:00:00,proj-063,australia-southeast1,australia-southeast1,Intra-region Egress,310.4,23.76
2026-01-05 00:00:00,proj-080,asia-south1,Internet,Intra-region Egress,175.11,33.11
2026-01-02 00:00:00,proj-032,AUSTRALIA-SOUTHEAST1,Internet,Inter-region Egress,32.03,15.38
2025-01-13 00:00:00,proj-003,europe-west1,Internet,,400.94,21.11
2026-04-11 00:00:00,proj-060,europe-west1,us-east4,Inter-region Egress,317.08,62.3
2026-03-10 00:00:00,proj-066,australia-southeast1,asia-south1,Cloud NAT,281.05,3.7
2025-09-17 00:00:00,proj-067,australia-southeast1,asia-south1,Inter-region Egress,50.99,26.77
2025-11-12 00:00:00,proj-001,asia-south1,australia-southeast1,Load Balancing,388.16,97.96
2026-04-19 00:00:00,proj-011,us-central1,Internet,Intra-region Egress,465.82,26.49
2025-02-08 00:00:00,proj-049,europe-west1,europe-west1,Load Balancing,364.6,35.9
2026-03-16 00:00:00,proj-037,europe-west1,us-central1,Inter-region Egress,5.9,26.85
2025-03-21 00:00:00,proj-009,us-central1,us-east4,Intra-region Egress,492.1,87.97
2026-03-13 00:00:00,proj-073,asia-south1,us-east4,Inter-region Egress,405.78,95.3
2025-08-05 00:00:00,proj-039,europe-west1,us-central1,Inter-region Egress,479.5,7.16
2025-10-04 00:00:00,proj-012,asia-south1,asia-south1,Inter-region Egress,174.5,3.7
2026-01-22 00:00:00,proj-042,us-central1,europe-west1,Cloud NAT,151.36,55.95
2026-05-08 00:00:00,proj-025,australia-southeast1,Internet,Intra-region Egress,339.83,19.61
2025-09-17 00:00:00,proj-051,europe-west1,australia-southeast1,Inter-region Egress,381.86,39.12
2025-02-05 00:00:00,proj-050,europe-west1,Internet,Intra-region Egress,163.05,28.61
2025-11-25 00:00:00,proj-003,asia-south1,us-east4,Load Balancing,392.47,6.44
2025-09-08 00:00:00,proj-040,europe-west1,asia-south1,Inter-region Egress,112.63,37.85
2026-01-23 00:00:00,proj-067,us-central1,us-east4,Cloud NAT,155.35,37.55
2025-01-14 00:00:00,proj-023,europe-west1,asia-south1,Inter-region Egress,157.63,73.93
2025-12-01 00:00:00,proj-038,us-central1,Internet,Cloud NAT,464.29,63.86
2026-05-11 00:00:00,proj-041,australia-southeast1,us-central1,Load Balancing,477.82,42.89
2025-07-01 00:00:00,proj-064,europe-west1,australia-southeast1,Load Balancing,219.86,39.2
2025-04-17 00:00:00,proj-058,europe-west1,australia-southeast1,Intra-region Egress,233.83,92.52
2026-03-28 00:00:00,proj-018,australia-southeast1,us-east4,Intra-region Egress,37.92,38.35
2025-03-18 00:00:00,proj-022,us-east4,australia-southeast1,Intra-region Egress,114.58,58.47
2025-04-25 00:00:00,proj-053,australia-southeast1,Internet,Load Balancing,460.24,77.46
2025-08-12 00:00:00,proj-020,us-central1,australia-southeast1,Cloud NAT,145.33,9.27
2025-03-19 00:00:00,proj-014,us-central1,Internet,Intra-region Egress,328.53,29.36
2025-01-31 00:00:00,proj-023,asia-south1,europe-west1,Load Balancing,276.7,56.55
2026-02-21 00:00:00,proj-072,asia-south1,Internet,Load Balancing,98.14,41.47
2026-04-02 00:00:00,proj-069,australia-southeast1,us-east4,Load Balancing,71.15,75.94
2026-03-12 00:00:00,proj-075,australia-southeast1,asia-south1,Cloud NAT,369.18,57.28
2025-06-29 00:00:00,proj-069,us-east4,australia-southeast1,Cloud NAT,69.17,87.28
2025-10-06 00:00:00,proj-047,us-east4,us-central1,Intra-region Egress,76,82.08
2026-01-28 00:00:00,proj-070,us-central1,asia-south1,Load Balancing,471.76,19.06
2026-03-29 00:00:00,proj-073,asia-south1,us-east4,Inter-region Egress,221.16,21.73
2026-03-14 00:00:00,proj-078,us-central1,Internet,Load Balancing,317.41,85.1
2025-08-15 00:00:00,proj-028,europe-west1,us-east4,Inter-region Egress,375.9,83.12
2026-01-07 00:00:00,proj-013,us-east4,us-east4,Internet Egress,70.68,15.7
2025-10-29 00:00:00,proj-007,europe-west1,us-central1,Load Balancing,162.83,12.54
2026-02-26 00:00:00,proj-063,europe-west1,australia-southeast1,Internet Egress,325.26,19.72
2025-08-22 00:00:00,proj-062,us-east4,us-east4,Load Balancing,349.74,53.01
2025-11-14 00:00:00,proj-070,EUROPE-WEST1,europe-west1,Intra-region Egress,221.29,94.25
2026-04-19 00:00:00,proj-057,us-east4,australia-southeast1,Intra-region Egress,204.53,99.15
2025-10-06 00:00:00,proj-067,asia-south1,Internet,Inter-region Egress,272.39,95.04
2025-05-27 00:00:00,proj-031,europe-west1,asia-south1,Cloud NAT,154.44,57.49
2025-06-29 00:00:00,proj-067,us-central1,us-central1,Internet Egress,126.82,17.29
2025-03-15 00:00:00,proj-066,us-central1,us-east4,Load Balancing,287.64,73.17
2025-09-05 00:00:00,proj-058,us-east4,australia-southeast1,Inter-region Egress,229.03,38.15
2026-03-17 00:00:00,proj-025,asia-south1,Internet,Internet Egress,262.88,39.39
2025-05-11 00:00:00,proj-080,australia-southeast1,asia-south1,Cloud NAT,319.44,58.93
2025-02-25 00:00:00,proj-052,australia-southeast1,us-east4,Cloud NAT,499.79,26.85
2026-04-25 00:00:00,proj-061,europe-west1,us-east4,Inter-region Egress,191.12,34.11
2025-06-20 00:00:00,proj-072,us-east4,Internet,Intra-region Egress,414.43,0.01
