Usage_Start_Date,Project_ID,SKU_ID,Location,Usage_Amount,Gross_Cost,Credits_Amount
09-01-2025,proj-010,sku-121,asia-south1,699.54,531.15,0
29-03-2026,proj-035,sku-104,asia-south1,138.44,844.57,-168.914
09-03-2026,proj-007,sku-115,europe-west1,132.83,1259.87,-125.987
20-06-2025,proj-019,sku-105,europe-west1,969.54,1459.56,0
10-12-2025,proj-079,sku-130,europe-west1,714.62,812.61,0
08-03-2025,proj-018,NA,europe-west1,41.16,891.45,-89.145
15-09-2025,,sku-123,europe-west1,398.88,33.81,-3.381
19-04-2026,proj-069,sku-121,europe-west1,433.58,5.31,0
31-08-2025,proj-076,sku-103,us-central1,744.07,2267.96,-226.796
09-02-2026,proj-043,sku-115,australia-southeast1,250.94,35.04,0
15-01-2026,proj-052,sku-107,australia-southeast1,184.42,82.81,-8.281
11-06-2025,proj-029,sku-121,us-central1,80.96,514.1,-51.41
19-10-2025,proj-034,sku-121,us-central1,428.37,1858.5,0
02-05-2025,proj-074,NA,us-central1,688.53,1697.3,0
21-03-2026,proj-065,sku-111,australia-southeast1,58.29,1617.95,0
30-06-2025,proj-009,sku-101,europe-west1,915.22,1437.39,0
06-06-2025,proj-020,sku-114,us-east4,442.41,504.26,-50.426
27-09-2025,proj-057,sku-129,us-central1,239.86,994.84,0
31-03-2025,proj-022,sku-111,australia-southeast1,93.96,1195.26,0
08-10-2025,proj-074,sku-113,europe-west1,182.95,1456.11,-145.611
05-06-2025,proj-065,sku-101,australia-southeast1,934.62,496.08,0
26-04-2026,proj-028,sku-118,us-east4,638.31,1822.59,0
25-02-2025,proj-017,sku-108,us-central1,516.74,772.29,0
23-05-2025,proj-051,sku-108,asia-south1,657.15,1650.56,0
25-01-2025,proj-012,NA,australia-southeast1,435.73,1284.96,-128.496
30-03-2026,proj-012,sku-113,us-east4,730.07,1480.54,0
05-02-2026,proj-075,sku-118,asia-south1,47.81,1032.88,0
29-04-2025,proj-066,sku-126,us-east4,566.08,1112.68,0
01-12-2025,proj-028,sku-125,us-central1,158.73,2170.47,0
21-10-2025,proj-067,sku-120,europe-west1,120.25,1189.69,-118.969
06-04-2025,proj-067,sku-105,us-east4,341.95,1984.72,0
11-03-2025,proj-052,sku-104,europe-west1,91.89,987.57,0
25-06-2025,proj-021,NA,australia-southeast1,94.25,1751.33,-350.266
17-03-2026,proj-036,sku-116,asia-south1,311.48,582.25,0
24-02-2025,proj-077,sku-127,australia-southeast1,979.51,2292.55,-229.255
16-09-2025,proj-051,sku-100,australia-southeast1,175.41,2418.19,0
26-01-2025,proj-062,sku-106,australia-southeast1,17.26,2253.31,0
09-05-2025,proj-012,sku-118,australia-southeast1,763.39,866.05,0
04-07-2025,proj-058,sku-125,europe-west1,806.93,691.23,0
20-07-2025,proj-020,sku-128,australia-southeast1,346.37,456.11,0
26-06-2025,proj-059,sku-120,australia-southeast1,464.73,2182.49,0
21-04-2026,proj-001,sku-111,us-central1,649.81,296.55,0
12-09-2025,proj-057,sku-114,asia-south1,48.15,1605.83,0
05-05-2026,proj-053,sku-102,europe-west1,949.15,828.67,-82.867
01-08-2025,proj-015,sku-120,asia-south1,886.69,469.8,0
18-01-2026,proj-074,sku-111,asia-south1,260.97,461.22,0
15-09-2025,proj-003,sku-116,us-central1,15.4,2177.43,0
10-04-2025,proj-053,sku-104,australia-southeast1,933.44,2149.55,0
10-09-2025,proj-039,sku-130,asia-south1,501.09,680.08,-136.016
06-08-2025,proj-045,sku-102,australia-southeast1,539.42,84.43,0
06-03-2026,proj-067,sku-115,us-central1,684,2172.72,0
15-05-2026,proj-023,sku-121,us-central1,615.89,143.32,-14.332
07-07-2025,,sku-106,us-central1,943.9,211.81,0
05-10-2025,proj-059,sku-103,us-east4,944.26,2054.8,-205.48
11-05-2025,proj-001,sku-118,asia-south1,867.21,2043.05,-204.305
31-05-2025,,sku-130,australia-southeast1,636.44,506.23,-50.623
13-03-2026,proj-064,sku-124,us-central1,800.97,95.56,0
26-04-2026,proj-042,sku-105,australia-southeast1,677.2,157.46,0
26-01-2026,proj-056,sku-123,europe-west1,573.41,1133.48,0
11-10-2025,proj-076,sku-121,asia-south1,128.59,1045.59,0
07-11-2025,proj-058,sku-122,us-east4,811.22,455.73,-91.146
18-02-2026,proj-028,sku-125,europe-west1,820.66,2272.6,0
10-07-2025,proj-003,sku-114,us-central1,625.98,1381.03,-276.206
28-04-2026,proj-057,sku-103,us-east4,820.44,2018.35,0
30-12-2025,proj-061,sku-114,us-east4,651.52,259.32,-51.864
26-02-2026,proj-030,sku-103,europe-west1,206.76,2433.65,-243.365
08-06-2025,proj-054,sku-126,europe-west1,274.03,2024.35,0
24-01-2025,proj-063,sku-103,australia-southeast1,214.67,719.57,0
01-08-2025,proj-072,sku-105,us-east4,377.32,51.97,0
26-03-2026,proj-013,sku-128,australia-southeast1,39.06,411.28,0
21-01-2026,proj-022,sku-100,europe-west1,618.29,1046.27,0
23-01-2026,proj-041,sku-129,us-central1,336.62,7.47,-0.747
22-06-2025,proj-008,sku-105,us-east4,655.76,102.11,-10.211
29-01-2026,proj-010,sku-112,australia-southeast1,385.46,246.6,-24.66
13-09-2025,proj-065,sku-109,us-east4,681.65,2024.29,-202.429
25-06-2025,proj-063,sku-110,europe-west1,340.69,1367.17,0
26-04-2025,proj-071,sku-128,us-central1,260.77,477.46,-47.746
05-09-2025,proj-069,sku-101,australia-southeast1,496.09,661.17,0
13-04-2025,proj-059,sku-127,australia-southeast1,692.92,1605.45,-160.545
30-04-2026,,sku-106,europe-west1,348.4,796.53,0
13-10-2025,proj-044,sku-105,europe-west1,936.65,1705.33,0
18-06-2025,proj-037,sku-106,us-central1,39.28,1945.57,-194.557
07-12-2025,proj-031,sku-122,europe-west1,418,766.57,0
13-05-2025,proj-004,sku-107,asia-south1,967.58,916.29,-183.258
03-10-2025,proj-013,sku-107,europe-west1,548.02,125.2,0
04-09-2025,proj-022,NA,australia-southeast1,423.53,2049.5,0
28-11-2025,proj-042,sku-115,us-central1,568.56,1515.18,0
23-03-2026,proj-019,sku-113,us-central1,575.97,2220.67,-222.067
13-01-2025,proj-035,sku-105,asia-south1,731.67,472.31,0
28-05-2025,proj-062,sku-102,australia-southeast1,127.78,2401.5,0
11-05-2026,proj-018,sku-127,europe-west1,250.09,1766.84,-176.684
04-04-2025,proj-006,sku-122,us-east4,580.59,491.53,0
24-08-2025,proj-033,sku-107,asia-south1,867.13,1157.43,0
05-05-2025,proj-022,sku-124,us-central1,561.91,1747.38,0
13-12-2025,proj-037,sku-125,europe-west1,238.67,42.44,-4.244
11-01-2026,proj-035,sku-105,europe-west1,679.88,1950.72,0
12-04-2026,proj-001,NA,europe-west1,739.93,2369.2,0
05-11-2025,proj-075,sku-128,us-east4,238.31,203.75,0
25-04-2026,proj-067,sku-128,us-central1,377.79,2245.3,0
07-02-2026,proj-015,sku-124,us-east4,534.37,1161.12,0
27-12-2025,proj-070,sku-129,australia-southeast1,496.61,1289,-128.9
24-11-2025,proj-036,sku-108,asia-south1,389.68,2100.27,0
08-02-2025,proj-064,sku-104,asia-south1,297.71,1474.15,0
11-05-2026,proj-052,sku-108,australia-southeast1,100.07,878.57,0
14-09-2025,proj-053,sku-103,asia-south1,53.58,1831.48,0
27-11-2025,proj-051,sku-103,us-central1,958.55,345.83,0
17-10-2025,proj-070,sku-113,europe-west1,847.16,1665.69,0
16-05-2025,proj-007,sku-120,europe-west1,354.97,1936.56,0
13-01-2026,proj-043,sku-130,asia-south1,956.81,836.93,-167.386
12-07-2025,proj-052,sku-130,australia-southeast1,676.8,2425.58,0
18-04-2025,proj-043,sku-116,us-central1,482.57,1601.51,0
06-03-2025,proj-037,sku-114,asia-south1,493.08,239.21,-23.921
25-05-2025,proj-056,sku-101,asia-south1,83.38,2415.71,0
09-12-2025,proj-041,sku-110,us-east4,91.79,1859.99,0
23-11-2025,proj-017,sku-112,australia-southeast1,602.48,1739.11,0
22-04-2025,proj-035,sku-130,us-central1,553.75,633.13,0
24-04-2025,proj-017,sku-100,us-central1,212.81,1182.87,0
27-01-2026,proj-070,sku-108,asia-south1,946.2,2252.63,-225.263
18-06-2025,proj-055,sku-101,europe-west1,781.32,770.39,-77.039
03-09-2025,proj-005,sku-130,us-east4,113.55,1058.34,-211.668
30-10-2025,proj-025,sku-114,asia-south1,930.94,641.89,0
05-04-2025,proj-017,sku-106,asia-south1,974.25,539.76,0
18-02-2026,proj-041,sku-110,us-central1,995.93,109.3,-21.86
18-08-2025,proj-003,sku-120,europe-west1,55.97,1842.25,0
23-09-2025,proj-013,sku-120,us-east4,737.06,226.91,0
24-04-2026,proj-032,sku-125,us-east4,545.96,1328.32,0
19-07-2025,proj-045,sku-123,asia-south1,705.86,124.5,-12.45
22-08-2025,proj-008,sku-126,us-east4,968.66,2459.69,0
29-08-2025,proj-051,sku-123,australia-southeast1,688.06,1773.62,0
29-03-2025,proj-061,sku-124,us-east4,836.98,1575.97,0
20-11-2025,proj-047,sku-120,us-central1,866.88,465.99,-46.599
01-02-2025,proj-006,sku-126,europe-west1,838.5,1320.14,0
02-10-2025,proj-022,sku-110,us-central1,426.15,1258.9,0
10-05-2025,proj-016,sku-115,asia-south1,222.65,896.63,0
16-10-2025,proj-013,sku-130,australia-southeast1,396.71,390.29,0
11-12-2025,proj-011,sku-128,asia-south1,891.91,917.83,-91.783
14-06-2025,proj-063,sku-127,asia-south1,146.69,1522.76,-152.276
12-05-2025,proj-052,sku-130,australia-southeast1,513.37,1218.38,0
24-02-2026,proj-011,sku-111,australia-southeast1,233.3,1425.11,-142.511
09-04-2025,proj-040,sku-118,us-east4,581.35,1430.05,0
26-06-2025,proj-077,sku-114,asia-south1,863.15,611.69,0
01-04-2025,proj-060,sku-112,us-east4,880.37,277.45,0
08-06-2025,proj-048,sku-123,us-central1,236.76,1304.38,0
25-11-2025,proj-016,sku-108,asia-south1,907.7,2230.93,0
24-03-2025,proj-020,sku-123,asia-south1,591.93,2488.41,0
11-02-2026,proj-045,sku-105,us-central1,350.28,1964.75,0
21-03-2025,proj-039,sku-101,us-central1,708.21,552.8,0
06-01-2026,proj-048,sku-112,australia-southeast1,481.72,1575.81,0
12-12-2025,proj-054,sku-126,europe-west1,378.05,597.17,0
10-03-2026,proj-039,sku-118,australia-southeast1,705.11,1441.13,-144.113
10-01-2026,proj-031,sku-118,asia-south1,248.8,1201.73,-240.346
16-05-2025,proj-007,sku-110,australia-southeast1,330.32,953.9,0
06-02-2026,proj-070,sku-116,europe-west1,434.51,1604.1,0
24-04-2026,proj-039,sku-111,us-east4,253.76,2144.28,-214.428
05-01-2025,proj-052,sku-130,us-central1,405.26,843.7,-84.37
14-06-2025,proj-018,sku-123,us-central1,571.52,1215.64,0
11-11-2025,proj-073,sku-122,australia-southeast1,741,1139.57,0
01-03-2025,proj-033,sku-104,europe-west1,767.22,623.07,-62.307
29-01-2026,proj-079,sku-130,australia-southeast1,822.81,1052.78,0
01-03-2026,proj-004,sku-116,asia-south1,744.24,53.97,0
05-02-2026,proj-049,sku-106,asia-south1,681.07,1293.58,0
16-04-2026,proj-038,sku-115,europe-west1,237.58,1801.98,0
18-04-2025,proj-029,sku-115,asia-south1,400.28,919.03,0
15-02-2025,proj-075,sku-115,europe-west1,477.77,1866.44,0
18-04-2026,proj-075,sku-109,us-central1,82.98,1876.64,-187.664
29-09-2025,proj-071,sku-105,us-east4,528.42,2460.29,0
28-08-2025,proj-015,sku-125,asia-south1,436.39,1364.86,0
05-05-2025,proj-062,NA,us-east4,802.13,1010.17,0
22-11-2025,proj-077,sku-114,us-central1,977.9,1598.81,0
08-05-2025,proj-001,sku-108,asia-south1,556.05,1566.44,0
21-08-2025,proj-009,sku-104,australia-southeast1,322.75,2468.36,0
21-03-2026,proj-039,sku-124,europe-west1,43.5,1769.24,0
23-08-2025,proj-076,sku-107,europe-west1,924.65,766.46,0
24-02-2026,proj-032,sku-128,us-east4,919.12,468.78,-46.878
16-04-2026,proj-040,sku-125,europe-west1,253.06,1981.82,-396.364
04-06-2025,proj-020,sku-122,us-east4,695.44,449.41,-89.882
23-03-2026,proj-055,sku-109,us-central1,75.53,1568.61,0
15-05-2025,proj-068,sku-130,us-central1,166.3,330.8,0
29-04-2025,proj-012,sku-105,europe-west1,216.89,1796.77,0
25-08-2025,proj-032,sku-118,us-east4,294.56,1957.24,0
19-02-2025,proj-047,sku-115,europe-west1,995.83,2476.35,0
30-06-2025,proj-012,sku-108,asia-south1,696.96,2385.54,0
08-06-2025,proj-025,sku-109,us-central1,384.26,1784.52,0
27-06-2025,proj-015,sku-108,us-central1,737.13,693.83,0
23-03-2026,proj-035,sku-124,australia-southeast1,915.26,109.3,0
22-01-2025,proj-044,sku-101,us-central1,958.71,1388.11,0
11-01-2026,proj-046,sku-101,us-east4,57.96,1914.95,-191.495
13-06-2025,proj-034,sku-111,us-east4,394.58,26.57,-2.657
11-07-2025,proj-005,sku-113,australia-southeast1,106.85,1312.01,0
13-10-2025,proj-017,sku-111,europe-west1,335.73,2207.22,0
25-12-2025,proj-058,sku-111,asia-south1,169.76,1593.05,-159.305
01-10-2025,proj-041,sku-114,us-east4,646.88,1709.46,-170.946
19-03-2026,proj-031,sku-124,asia-south1,UNKNOWN,1185.84,0
29-09-2025,proj-062,sku-102,us-east4,229.47,2357.88,0
03-06-2025,proj-004,sku-115,asia-south1,266.01,936.62,0
07-05-2025,proj-046,sku-107,us-central1,360.41,947.75,0
10-09-2025,proj-038,sku-104,us-central1,260.02,1294.35,-129.435
04-04-2026,proj-029,sku-123,us-east4,453.3,1464.83,0
05-02-2025,proj-034,sku-114,australia-southeast1,32.41,1343.57,-134.357
07-11-2025,proj-035,sku-123,asia-south1,279.84,2046.58,0
12-04-2025,proj-046,sku-122,asia-south1,411.27,2086.28,0
31-01-2025,proj-077,sku-128,europe-west1,602.82,329.17,0
30-10-2025,proj-027,sku-110,us-central1,271.03,1490.41,-149.041
27-09-2025,proj-021,sku-100,asia-south1,133.27,2459.75,0
03-10-2025,proj-010,sku-120,europe-west1,76.29,1499.15,-299.83
30-01-2026,proj-001,sku-112,australia-southeast1,940.54,1720.41,0
07-01-2025,proj-021,sku-114,asia-south1,416.7,2153.43,0
26-01-2026,proj-058,sku-114,us-east4,581.2,2166.51,-216.651
19-01-2026,proj-065,sku-130,australia-southeast1,919.18,42.99,0
11-01-2026,proj-073,sku-128,europe-west1,82.84,598.59,0
19-12-2025,proj-030,sku-122,us-east4,876.67,2157.2,-431.44
06-10-2025,proj-006,sku-129,europe-west1,551.63,1667.76,0
02-08-2025,proj-032,sku-127,europe-west1,164.92,1579.27,-315.854
27-04-2025,proj-013,sku-101,australia-southeast1,411.31,2149.86,0
24-04-2026,proj-038,sku-122,us-east4,777.62,2016.38,0
14-07-2025,,sku-123,us-central1,480.42,1878.38,0
18-11-2025,proj-020,sku-115,us-central1,985.29,118.39,-11.839
22-04-2025,proj-013,sku-106,us-east4,376.8,1954.14,0
30-11-2025,proj-051,sku-122,asia-south1,749.6,501.53,0
05-09-2025,proj-058,sku-112,us-east4,393.05,65.03,0
13-06-2025,proj-004,sku-130,australia-southeast1,829.18,1229.73,0
27-03-2026,proj-064,sku-109,europe-west1,569.12,2355.9,-471.18
10-04-2026,proj-036,sku-125,us-east4,63.61,2216.13,0
31-12-2025,proj-078,sku-101,australia-southeast1,36.92,2455.14,0
08-03-2026,proj-040,sku-124,us-east4,133.94,616.34,-61.634
03-03-2025,proj-065,sku-115,europe-west1,13.77,1738.49,-173.849
07-02-2026,proj-077,sku-123,australia-southeast1,75.45,139.63,0
08-01-2026,proj-068,sku-110,us-east4,691.75,2008.63,0
01-04-2025,proj-006,sku-116,australia-southeast1,534.39,1309.42,-261.884
14-06-2025,proj-049,sku-129,asia-south1,749.94,2490.72,-249.072
27-09-2025,proj-049,sku-126,europe-west1,913.17,599.99,-119.998
23-12-2025,proj-048,sku-129,us-central1,585.19,1961.62,0
04-12-2025,proj-042,sku-125,europe-west1,726.15,427.4,0
14-09-2025,proj-066,sku-112,us-east4,757.11,717.96,0
23-01-2025,proj-013,sku-122,us-east4,377.91,738.91,-147.782
28-07-2025,proj-030,sku-118,asia-south1,241.16,1444.67,0
14-12-2025,proj-033,sku-129,europe-west1,205.12,912.78,0
22-03-2025,proj-064,sku-100,australia-southeast1,251.52,1096.79,-109.679
13-10-2025,proj-051,sku-111,us-central1,274.8,1304.52,0
03-10-2025,proj-054,NA,australia-southeast1,207.31,140.56,0
26-03-2025,proj-016,sku-103,us-east4,878.23,1663.41,0
26-06-2025,proj-074,sku-121,europe-west1,757.02,1623.17,0
29-07-2025,proj-078,sku-128,us-central1,46.99,2412,0
08-12-2025,proj-058,sku-104,europe-west1,268.75,333.48,0
28-08-2025,proj-062,sku-121,australia-southeast1,22.28,77.43,0
26-03-2026,proj-028,sku-116,australia-southeast1,498.22,333.08,0
10-04-2026,proj-059,sku-108,europe-west1,476.26,1056.17,0
02-10-2025,proj-077,sku-100,us-east4,831.39,534.84,0
29-11-2025,proj-038,sku-112,australia-southeast1,307.85,540.8,-108.16
23-02-2025,proj-049,sku-105,europe-west1,816.4,2173.5,0
05-09-2025,proj-024,sku-106,europe-west1,967.98,809.58,0
09-09-2025,proj-047,NA,europe-west1,88.5,1042,-208.4
11-05-2026,proj-028,sku-125,us-east4,791.84,1710.38,0
18-02-2026,proj-075,sku-114,us-east4,590,849.86,0
07-05-2026,proj-080,sku-115,asia-south1,480.1,1385.9,-138.59
03-01-2025,proj-031,sku-111,australia-southeast1,420.59,1307.2,0
11-01-2025,proj-020,sku-121,us-central1,784.69,653.8,0
16-03-2026,proj-068,sku-130,australia-southeast1,639.4,1792.74,0
03-03-2025,proj-016,sku-125,us-central1,805.06,2085.29,0
24-11-2025,proj-048,sku-107,us-central1,903.16,1958.64,-391.728
27-07-2025,proj-022,sku-103,europe-west1,617.3,988.23,0
08-07-2025,proj-047,sku-114,us-central1,980.46,2332.4,0
27-12-2025,proj-040,sku-101,asia-south1,608.13,2247.41,0
07-07-2025,proj-014,sku-125,us-central1,636.68,667.1,0
16-07-2025,proj-027,sku-125,us-central1,554.86,309.86,-30.986
31-01-2025,proj-080,sku-128,us-central1,91.09,2234.52,0
21-11-2025,proj-015,sku-125,asia-south1,726.42,1862.14,0
02-05-2026,proj-067,sku-112,australia-southeast1,547.49,777.48,0
04-04-2026,proj-003,sku-104,europe-west1,450.97,762.2,0
04-05-2025,proj-057,sku-118,europe-west1,910.48,805.43,0
28-07-2025,proj-026,sku-113,asia-south1,298.03,2153.34,0
06-02-2026,proj-007,sku-121,europe-west1,523.65,600.59,0
22-04-2025,proj-031,sku-113,us-central1,697.67,1627.72,-162.772
31-07-2025,proj-079,sku-128,australia-southeast1,796.49,2086.11,-417.222
17-02-2025,proj-044,sku-116,australia-southeast1,459.4,968.37,0
02-01-2025,proj-025,sku-108,asia-south1,842.11,153.74,0
04-11-2025,proj-025,sku-102,us-central1,768.94,1897.14,-189.714
02-02-2026,proj-027,sku-125,australia-southeast1,66.33,49.68,-9.936
30-04-2025,proj-007,sku-120,europe-west1,45.96,2077.2,-415.44
03-04-2025,proj-048,sku-129,australia-southeast1,620.84,902.16,0
10-06-2025,proj-042,sku-125,us-central1,347.48,2003.3,0
07-08-2025,proj-004,sku-107,us-central1,209.21,1363.41,0
23-11-2025,proj-079,sku-108,australia-southeast1,579.69,898.05,0
14-05-2025,proj-068,sku-108,us-east4,341.63,2248.32,0
27-01-2026,proj-051,sku-104,us-central1,537.31,1917.61,-191.761
26-06-2025,proj-021,sku-102,asia-south1,460.17,201.78,-20.178
04-10-2025,proj-036,sku-116,asia-south1,584.81,2326.48,0
31-05-2025,proj-061,sku-101,us-central1,400.36,1167.52,-233.504
16-01-2025,proj-059,sku-113,australia-southeast1,697.7,372.42,0
04-05-2025,proj-004,sku-106,europe-west1,180.15,1928.03,0
23-07-2025,proj-067,sku-124,us-east4,696.53,1294.04,0
07-03-2026,proj-054,sku-127,europe-west1,411.72,1681.84,0
18-02-2025,proj-005,sku-126,asia-south1,874.33,1735.1,0
04-12-2025,proj-073,sku-120,us-east4,515.28,492.99,-98.598
03-12-2025,proj-030,sku-120,australia-southeast1,973.11,2427.16,0
29-06-2025,proj-069,sku-124,europe-west1,601.98,263.87,-26.387
06-11-2025,proj-013,sku-120,asia-south1,223.93,1514.49,-302.898
17-06-2025,proj-045,sku-113,us-east4,821.81,365.83,0
11-01-2025,proj-006,sku-126,asia-south1,345.15,2193.25,0
14-04-2025,proj-075,sku-118,us-central1,347.68,433.12,0
19-02-2025,proj-037,sku-126,australia-southeast1,31.9,1102.6,0
27-07-2025,proj-072,sku-121,australia-southeast1,548.76,217.19,0
17-04-2025,proj-019,sku-130,asia-south1,534.47,1120.09,0
28-06-2025,proj-076,sku-108,europe-west1,356.06,10.17,0
03-12-2025,proj-003,sku-126,asia-south1,894.23,1108.68,0
03-06-2025,proj-058,sku-105,us-east4,128.84,1719.73,0
08-07-2025,proj-009,sku-130,us-east4,330.17,457.08,0
02-04-2026,proj-053,sku-120,australia-southeast1,321.65,1382.47,-138.247
12-10-2025,proj-062,sku-103,australia-southeast1,92.38,1185.96,0
09-05-2026,proj-036,sku-103,europe-west1,481.2,837.46,0
10-08-2025,proj-032,sku-110,europe-west1,687.82,1677,0
16-06-2025,proj-023,sku-126,australia-southeast1,511.71,2487.85,-497.57
08-09-2025,proj-001,sku-111,us-central1,157.06,2344.45,0
07-05-2026,proj-050,sku-109,europe-west1,377.35,2425.26,0
05-01-2025,proj-026,sku-110,asia-south1,2.69,50.54,0
01-04-2026,proj-068,sku-124,europe-west1,868.31,640.99,0
12-09-2025,proj-042,sku-107,asia-south1,84.61,2306.89,-230.689
14-04-2026,proj-032,sku-103,us-east4,597.32,120.74,0
21-03-2026,proj-056,sku-112,us-east4,986.26,912.03,0
26-02-2025,proj-018,sku-120,australia-southeast1,536.64,1630.51,0
22-03-2025,proj-052,sku-102,australia-southeast1,924.05,2457.47,0
20-04-2025,proj-006,sku-112,europe-west1,236.19,689.44,0
21-01-2025,proj-068,sku-104,australia-southeast1,759.98,1910.46,-191.046
02-07-2025,proj-071,sku-127,us-central1,531.31,1650.93,-330.186
14-10-2025,proj-077,sku-123,us-east4,720.54,1533.67,-306.734
30-01-2025,proj-026,sku-129,europe-west1,62.44,1857.34,-185.734
02-09-2025,proj-023,sku-129,europe-west1,147.82,634.82,0
07-01-2025,proj-057,NA,us-central1,133.2,846.72,0
08-08-2025,proj-011,sku-104,europe-west1,687.2,1401.16,0
16-03-2025,proj-013,sku-130,us-central1,844.46,1097.46,0
30-05-2025,proj-011,sku-109,us-central1,749.64,1804.98,-180.498
03-04-2026,proj-010,sku-102,us-central1,30.57,2001.57,0
02-01-2026,proj-008,sku-127,europe-west1,867.23,1320.03,-132.003
05-12-2025,proj-054,sku-127,asia-south1,354.21,984.9,-196.98
22-07-2025,proj-040,sku-129,us-central1,397.22,2279.62,0
09-08-2025,proj-029,sku-129,australia-southeast1,104.96,1874.62,0
23-09-2025,proj-076,sku-130,asia-south1,737.43,1683.11,0
19-03-2025,proj-071,sku-130,us-east4,182.37,143.26,0
25-04-2025,proj-014,sku-126,us-east4,564.01,1319.62,0
02-01-2026,proj-038,sku-127,australia-southeast1,840.73,303.76,0
25-09-2025,proj-060,sku-124,europe-west1,89.3,1651.27,0
07-03-2025,proj-053,sku-109,asia-south1,535.38,749.07,0
16-02-2026,proj-043,sku-105,us-east4,233.29,1846.26,0
