Project_ID,Project_Name,Department,Environment,Total_Budget_USD,Total_Gross_Billing_USD,Total_Credits_USD,Total_Net_Billing_USD,Total_Network_Cost_USD,Total_Amount_Spent_USD,Budget_Variance_USD
proj-024,Project_proj-024,Legal,Development,1016582.54,896030.67,-36574.69,859455.98,24528.84,883984.82,132597.72
proj-025,Project_proj-025,FinTech,Testing,1101209.4,972098.37,-39663.78,932434.59,25138.8,957573.39,143636.01
proj-026,Project_proj-026,Legal,Testing,780932.69,928017.77,-35210.58,892807.19,25937.15,918744.34,-137811.65
proj-027,Project_proj-027,Data Science,Development,1096561.24,972032.06,-43108.18,928923.88,24607.63,953531.51,143029.73
proj-028,Project_proj-028,Security,Development,1084372.33,961019.08,-41966.06,919053.02,23879.43,942932.46,141439.87
proj-029,Project_proj-029,E-Commerce,Development,760197.95,904414.56,-35254.52,869160.04,25190.49,894350.53,-134152.58
proj-030,Project_proj-030,Marketing,Production,1105406.16,975863.43,-40182.16,935681.27,25541.48,961222.75,144183.41
proj-031,Project_proj-031,Unallocated,Production,753369.84,897027.05,-36410.98,860616.07,25701.39,886317.46,-132947.62
proj-032,Project_proj-032,Unallocated,Development,735491.17,875689.06,-34565.36,841123.7,24160.03,865283.73,-129792.56
proj-033,Project_proj-033,Security,Sandbox,1134833.29,997549.9,-37517.3,960032.6,26778.97,986811.56,148021.73
proj-034,Project_proj-034,FinTech,Production,808302.25,962412.03,-37551.11,924860.92,26082.9,950943.82,-142641.57
proj-035,Project_proj-035,Marketing,Development,834611.79,994453.38,-37252.85,957200.53,24695.69,981896.22,-147284.43
proj-036,Project_proj-036,Marketing,Production,836929.18,997659.52,-38948.06,958711.46,25911.1,984622.56,-147693.38
proj-037,Project_proj-037,Data Science,Production,804266.06,960685.47,-38802.56,921882.91,24312.46,946195.37,-141929.31
proj-038,Project_proj-038,Research & Development,Sandbox,1095826.9,961837.91,-35295.31,926542.6,26350.36,952892.96,142933.94
proj-039,Project_proj-039,Human Resources,Testing,779065.88,932477.68,-38676.91,893800.77,22747.33,916548.1,-137482.22
proj-040,Project_proj-040,IT Operations,Testing,753518.07,898595.05,-38120.66,860474.39,26017.46,886491.85,-132973.78
proj-041,Project_proj-041,E-Commerce,Sandbox,837355.6,1003524.16,-41963.74,961560.42,23563.82,985124.24,-147768.64
proj-042,Project_proj-042,E-Commerce,Testing,1079364.24,946937.78,-35329.93,911607.86,26969.74,938577.6,140786.64
proj-043,Project_proj-043,Security,Development,790518.26,940009.78,-34885.78,905124.0,24897.48,930021.48,-139503.22
proj-044,Project_proj-044,Research & Development,Staging,1075760.19,949087.48,-40449.6,908637.88,26805.76,935443.64,140316.55
proj-045,Project_proj-045,E-Commerce,Staging,851061.73,1014234.62,-37636.44,976598.18,24650.91,1001249.09,-150187.36
proj-046,Project_proj-046,Marketing,Sandbox,809427.6,963686.96,-37587.98,926098.98,26168.79,952267.77,-142840.17
proj-047,Project_proj-047,IT Operations,Production,1087176.96,958032.35,-37838.38,920193.97,25177.3,945371.27,141805.69
proj-048,Project_proj-048,E-Commerce,Sandbox,749334.76,898500.24,-41966.82,856533.42,25036.89,881570.31,-132235.55
proj-049,Project_proj-049,IT Operations,Production,1150193.44,1013401.86,-37569.57,975832.29,24335.92,1000168.21,150025.23
proj-050,Project_proj-050,IT Operations,Testing,837305.32,999234.41,-40942.99,958291.42,26773.66,985065.08,-147759.76
proj-051,Project_proj-051,Data Science,Sandbox,798397.77,949642.4,-36173.4,913469.0,25822.49,939291.49,-140893.72
proj-052,Project_proj-052,Security,Sandbox,1085923.93,955527.16,-35392.08,920135.08,24146.6,944281.68,141642.25
proj-053,Project_proj-053,Sales,Production,1081397.49,952149.44,-37783.09,914366.35,25979.29,940345.64,141051.85
proj-054,Project_proj-054,Data Science,Development,794147.89,948178.72,-39567.0,908611.72,25679.92,934291.64,-140143.75
proj-055,Project_proj-055,Sales,Production,727187.57,868007.22,-36732.16,831275.06,24239.73,855514.79,-128327.22
proj-056,Project_proj-056,Data Science,Testing,797511.92,953598.84,-41583.39,912015.44,26233.88,938249.32,-140737.4
proj-057,Project_proj-057,Marketing,Production,831971.81,990574.62,-40569.21,950005.41,28784.96,978790.37,-146818.56
proj-058,Project_proj-058,E-Commerce,Development,1025864.03,909686.22,-42750.15,866936.07,25119.61,892055.68,133808.35
proj-059,Project_proj-059,IT Operations,Development,1113250.89,977687.98,-37113.57,940574.41,27469.84,968044.25,145206.64
proj-060,Project_proj-060,Human Resources,Development,1057833.16,932870.59,-38101.71,894768.88,25086.04,919854.92,137978.24
proj-061,Project_proj-061,IT Operations,Development,1047530.86,922713.01,-36453.64,886259.36,24637.03,910896.4,136634.46
proj-062,Project_proj-062,Sales,Staging,867952.91,1033715.29,-39573.1,994142.19,26978.88,1021121.07,-153168.16
proj-063,Project_proj-063,Marketing,Staging,771801.78,917968.48,-35259.05,882709.43,25292.66,908002.09,-136200.31
proj-064,Project_proj-064,FinTech,Development,1167994.9,1032124.63,-41878.18,990246.45,25401.29,1015647.74,152347.16
proj-065,Project_proj-065,Sales,Testing,774136.48,923063.04,-38937.7,884125.34,26623.46,910748.8,-136612.32
proj-066,Project_proj-066,E-Commerce,Production,783076.81,931768.77,-38142.69,893626.08,27640.76,921266.84,-138190.03
proj-067,Project_proj-067,Marketing,Sandbox,762010.11,904202.76,-34604.25,869598.51,26883.97,896482.48,-134472.37
proj-068,Project_proj-068,Data Science,Testing,794137.79,944895.83,-36512.73,908383.1,25896.65,934279.75,-140141.96
proj-069,Project_proj-069,Human Resources,Sandbox,745090.83,886146.21,-36314.19,849832.02,26745.43,876577.45,-131486.62
proj-070,Project_proj-070,IT Operations,Production,1118414.05,978744.15,-34754.38,943989.77,28544.19,972533.96,145880.09
proj-071,Project_proj-071,FinTech,Production,812471.48,966177.96,-34441.23,931736.73,24112.07,955848.8,-143377.32
proj-072,Project_proj-072,Sales,Production,1107709.93,970495.97,-31698.75,938797.22,24428.81,963226.03,144483.9
proj-073,Project_proj-073,Marketing,Staging,825691.37,985553.56,-40551.74,945001.82,26399.79,971401.61,-145710.24
proj-074,Project_proj-074,E-Commerce,Testing,812505.85,965679.78,-35269.57,930410.21,25479.02,955889.23,-143383.38
proj-075,Project_proj-075,Legal,Staging,1035616.19,914547.76,-39470.65,875077.11,25458.71,900535.82,135080.37
proj-076,Project_proj-076,Security,Staging,1065077.73,939425.51,-39706.89,899718.62,26435.93,926154.55,138923.18
proj-077,Project_proj-077,Sales,Development,1124458.01,994990.73,-43180.91,951809.82,25979.75,977789.57,146668.44
proj-078,Project_proj-078,Security,Testing,788078.38,937536.35,-36323.75,901212.6,25938.44,927151.04,-139072.66
proj-079,Project_proj-079,IT Operations,Production,1081466.49,945338.42,-32706.49,912631.93,27773.71,940405.64,141060.85
proj-080,Project_proj-080,IT Operations,Production,1060398.27,936553.61,-40713.34,895840.27,26245.18,922085.45,138312.82
unassigned-project,Unknown / Unassigned,Corporate Overhead,Shared Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0
